'Product_Type','Product ','Price','5_Star_Reviews','4_Star_Reviews','3_Star_Reviews','2_Star_Reviews','1_Star_Reviews','Positive_Service_Review','Negative_Service_Review','Would_consumer','Best_Sellers','Shipping_Weight','Product_Depth','Product_Width','Product_Height','Stock','Profit_margin','Volume',,'Random'
'Printer',166,132.36,0,1,0,0,0,0,0,0.8,,30.2,20.9,20.9,14.6,2,0.2,0,,-0.3537498002
'Printer',167,149.99,206,89,20,22,65,42,50,0.7,10,13,8.8,13.7,7.6,83,0.15,824,,0.0944547667
'Printer',168,395,8,0,1,0,2,3,0,0.8,69,63,17.9,15.9,12.7,5,0.09,32,,-0.2555525466
'Printer',169,385.96,99,43,17,11,20,8,13,0.7,,39,21,15.4,17.9,42,0.11,396,,0.1410405608
'Netbook',177,379.99,1,0,1,1,0,0,1,0.3,6295,3,7.44,10.43,1.02,2,0.1,4,,0.1530441612
'Tablet',185,499,148,66,30,20,29,12,6,0.8,134,2.2,7.1,10.4,0.3,58,0.13,592,,-0.1153426301
'Smartphone',190,199,4,1,0,2,2,1,1,0.5,829,1.1,4.5,2.5,0.5,4,0.1,16,,-0.0824663611
'Game Console',198,129,1759,296,109,56,44,56,13,0.9,215,7.25,8.5,6,1.75,483,0.18,7036,,0.2720298844
'Tablet',188,499,86,51,17,12,9,14,2,0.8,4,2,10.1,6.9,0.38,34,0.2,344,,-0.3031543242
'Tablet',189,419,3,1,0,0,0,0,0,0.9,544,2.2,7,10.2,0.4,3,0.18,12,,-0.4529867764
'Smartphone',191,200,62,25,10,11,12,9,3,0.8,720,0.9,2.8,5.4,0.3,26,0.14,248,,-0.1475731614
'Smartphone',192,99,18,17,6,2,12,5,4,0.7,5742,0.7,2.8,5.3,0.4,8,0.17,72,,-0.3715603868
'Netbook',182,349.99,22,10,6,2,10,3,3,0.3,2723,5,7.57,10.47,1.43,10,0.12,88,,-0.2040217568
'Smartphone',197,499,368,28,14,10,23,22,3,0.9,14086,0.9,2.7,5,0.4,138,0.1,1472,,-0.0046773318
'Game Console',200,299.99,421,87,20,14,39,29,14,0.9,352,10.94,12,11.5,7.25,141,0.12,1684,,-0.4870500939
