in-store,age,items,amount,region
1,31,2,740.49,1
1,42,8,91.76,1
1,52,3,637.03,1
1,53,2,445.28,1
1,38,3,709.73,1
1,30,7,90.95,1
1,50,6,1823.30,1
1,51,3,705.18,1
1,66,2,185.40,1
1,63,2,557.01,1
1,42,5,553.31,1
1,34,7,1551.00,1
1,69,4,816.22,1
1,28,4,715.21,1
1,32,3,978.56,1
1,21,3,1541.40,1
1,38,4,1856.90,1
1,49,8,638.69,1
1,54,2,297.79,1
1,28,6,428.67,1
1,29,7,1489.40,1
1,29,3,565.62,1
1,20,4,669.10,1
1,32,7,764.30,1
1,63,7,414.43,1
1,25,2,538.76,1
1,37,7,586.41,1
1,53,5,649.62,1
1,51,4,1248.80,1
1,29,7,862.74,1
1,54,6,337.35,1
1,58,5,913.39,1
1,62,4,744.73,1
1,47,7,422.75,1
1,46,1,751.79,1
1,32,4,68.14,1
1,40,2,1342.90,1
1,37,1,359.24,1
1,29,5,865.68,1
1,35,5,117.53,1
1,25,5,1068.00,1
1,72,5,205.12,1
1,53,5,379.92,1
1,25,6,1587.00,1
1,51,5,1028.00,1
1,42,2,96.52,1
1,55,6,456.14,1
1,48,3,1590.20,1
1,46,6,932.77,1
1,52,1,253.11,1
1,53,5,441.61,1
1,42,3,118.53,1
1,20,4,1615.60,1
1,63,3,377.08,1
1,64,4,968.50,1
1,56,7,502.94,1
1,41,3,218.09,1
1,73,5,965.57,1
1,40,3,1248.50,1
1,59,3,721.22,1
1,45,7,135.94,1
1,66,8,116.38,1
1,29,5,382.52,1
1,25,1,1060.30,1
1,64,2,692.75,1
1,35,7,759.92,1
1,67,2,367.02,1
1,27,5,345.48,1
1,53,3,516.98,1
1,60,5,753.75,1
1,37,6,508.38,1
1,41,5,1607.00,1
1,29,2,1434.20,1
1,27,1,906.74,1
1,63,3,674.76,1
1,45,7,1744.60,1
1,41,5,879.86,1
1,58,6,387.70,1
1,28,7,240.48,1
1,47,4,1299.70,1
1,71,3,270.72,1
1,35,2,196.02,1
1,51,3,885.42,1
1,62,8,505.10,1
1,47,8,299.86,1
1,55,4,683.19,1
1,71,3,898.88,1
1,51,6,417.42,1
1,28,2,494.85,1
1,73,2,829.93,1
1,43,4,557.35,1
1,31,2,1117.00,1
1,60,8,977.25,1
1,36,7,1513.80,1
1,55,1,296.93,1
1,52,4,530.14,1
1,50,7,1656.40,1
1,66,5,190.14,1
1,64,3,590.07,1
1,65,4,794.62,1
1,30,7,986.92,1
1,34,2,977.49,1
1,34,3,480.53,1
1,51,2,324.83,1
1,42,1,942.43,1
1,43,3,1194.30,1
1,54,4,915.85,1
1,40,6,528.93,1
1,29,2,418.02,1
1,39,5,295.76,1
1,27,6,1839.20,1
1,19,8,991.72,1
1,58,3,498.34,1
1,40,7,95.45,1
1,59,3,207.58,1
1,48,3,457.17,1
1,43,3,277.96,1
1,54,6,283.90,1
1,64,7,544.80,1
1,65,4,839.16,1
1,58,1,235.79,1
1,39,3,831.54,1
1,25,3,534.51,1
1,73,4,983.60,1
1,20,4,1749.30,1
1,25,4,371.96,1
1,25,4,919.07,1
1,25,1,1159.20,1
1,26,3,1622.00,1
1,44,8,503.02,1
1,41,4,879.88,1
1,32,3,1359.70,1
1,28,1,1421.00,1
1,50,5,1889.40,1
1,20,3,1488.50,1
1,31,3,730.33,1
1,21,7,1535.20,1
1,60,4,853.68,1
1,55,6,735.14,1
1,64,3,800.29,1
1,31,3,994.37,1
1,42,5,464.62,1
1,42,6,1813.30,1
1,28,5,1923.70,1
1,39,3,508.24,1
1,37,6,902.33,1
1,51,7,411.73,1
1,25,7,641.51,1
1,25,3,728.32,1
1,50,4,772.88,1
1,39,3,480.44,1
1,32,5,677.27,1
1,28,6,55.77,1
1,48,5,1995.80,1
1,37,5,1968.20,1
1,38,5,101.48,1
1,46,3,779.73,1
1,29,4,784.64,1
1,31,6,1356.80,1
1,71,5,887.38,1
1,31,6,1421.40,1
1,39,7,971.06,1
1,37,2,422.42,1
1,23,2,687.30,1
1,49,5,580.71,1
1,29,3,233.47,1
1,44,5,230.38,1
1,28,2,70.49,1
1,53,1,179.51,1
1,54,3,923.54,1
1,52,2,667.22,1
1,59,2,181.50,1
1,47,4,1049.10,1
1,50,4,396.61,1
1,73,7,442.96,1
1,52,3,116.52,1
1,41,7,980.47,1
1,69,3,976.39,1
1,19,2,991.60,1
1,42,1,356.59,1
1,21,4,1735.70,1
1,71,5,559.82,1
1,45,5,1305.10,1
1,43,7,210.36,1
1,36,1,1334.30,1
1,20,8,1046.80,1
1,33,5,766.68,1
1,46,7,1325.90,1
1,21,6,88.37,1
1,29,4,516.23,1
1,22,8,1293.50,1
1,46,1,566.29,1
1,69,6,272.03,1
1,24,2,441.27,1
1,34,7,334.08,1
1,36,4,1666.40,1
1,36,3,781.01,1
1,65,7,906.38,1
1,33,7,913.97,1
1,38,3,410.32,1
1,61,8,211.90,1
1,22,4,326.89,1
1,55,6,547.56,1
1,54,1,196.80,1
1,41,3,110.60,1
1,19,2,83.04,1
1,26,2,1983.60,1
1,25,2,999.32,1
1,28,5,1528.70,1
1,52,3,472.04,1
1,39,2,1462.70,1
1,53,3,535.22,1
1,69,3,624.16,1
1,30,4,666.71,1
1,68,3,770.47,1
1,36,6,783.92,1
1,37,4,349.73,1
1,25,8,1086.50,1
1,43,1,833.72,1
1,56,1,375.65,1
1,33,6,781.60,1
1,73,2,182.55,1
1,38,4,164.06,1
1,67,3,729.24,1
1,60,3,190.50,1
1,19,3,151.39,1
1,56,5,807.99,1
1,35,7,579.45,1
1,35,2,601.60,1
1,40,6,221.38,1
1,65,4,844.59,1
1,44,5,1689.30,1
1,68,3,348.31,1
1,53,3,631.29,1
1,29,7,516.23,1
1,61,2,777.15,1
1,68,6,183.20,1
1,29,1,626.11,1
1,63,8,653.97,1
1,57,7,358.71,1
1,28,5,1978.10,1
1,47,8,348.09,1
1,41,3,369.92,1
1,25,1,642.90,1
1,49,6,694.68,1
1,62,3,893.86,1
1,64,5,909.29,1
1,55,1,1732.40,1
1,34,3,1500.80,1
1,61,6,98.07,1
1,41,3,1249.70,1
1,49,7,675.82,1
1,68,2,277.61,1
1,48,3,874.09,1
1,31,3,646.97,1
1,38,7,1679.10,1
1,37,3,103.64,1
1,33,2,1408.70,1
1,71,5,969.03,1
1,24,6,320.42,1
1,63,6,102.92,1
1,28,4,539.01,1
1,50,1,237.29,1
1,59,3,541.60,1
1,32,1,472.78,1
1,41,4,1544.10,1
1,32,4,979.49,1
1,46,3,471.14,1
1,37,6,1678.40,1
1,41,2,814.82,1
1,19,7,1230.30,1
1,23,4,952.45,1
1,66,3,951.96,1
1,54,6,1758.50,1
1,68,8,938.70,1
1,28,5,315.34,1
1,60,2,939.14,1
1,44,5,673.04,1
1,64,4,229.12,1
1,31,2,901.87,1
1,21,4,1960.80,1
1,42,8,976.81,1
1,33,6,1247.90,1
1,73,4,930.83,1
1,43,2,774.51,1
1,36,2,1899.80,1
1,45,7,1023.70,1
1,27,3,1805.70,1
1,50,2,1926.60,1
1,38,3,1849.80,1
1,73,5,924.43,1
1,63,6,371.79,1
1,67,4,934.23,1
1,22,2,1492.00,1
1,33,6,782.40,1
1,35,2,738.99,1
1,32,2,943.59,1
1,53,2,673.35,1
1,39,4,206.57,1
1,25,8,989.24,1
1,44,5,453.30,1
1,55,5,366.60,1
1,20,4,264.92,1
1,53,8,428.07,1
1,64,3,511.25,1
1,54,5,944.72,1
1,30,7,434.53,1
1,35,7,209.81,1
1,38,4,791.65,1
1,28,2,1201.80,1
1,47,3,123.36,1
1,59,6,840.31,1
1,28,2,1753.10,1
1,28,2,1310.00,1
1,37,3,1520.30,1
1,40,4,1954.10,1
1,20,5,391.11,1
1,31,7,434.15,1
1,36,7,745.85,1
1,28,1,596.65,1
1,58,3,597.57,1
1,61,7,144.40,1
1,26,3,105.57,1
1,41,6,1264.00,1
1,45,6,633.29,1
1,46,2,624.44,1
1,38,4,297.77,1
1,74,2,864.05,1
1,59,2,822.19,1
1,72,5,64.13,1
1,41,2,1175.30,1
1,40,4,590.85,1
1,47,1,657.73,1
1,53,1,342.84,1
1,44,4,1129.40,1
1,64,3,220.75,1
1,45,3,1059.10,1
1,43,5,212.89,1
1,28,1,1750.80,1
1,55,2,234.23,1
1,36,8,602.67,1
1,47,5,482.86,1
1,52,2,250.56,1
1,21,5,1019.90,1
1,47,2,1157.00,1
1,53,2,1590.30,1
1,65,5,837.34,1
1,63,7,387.28,1
1,38,4,948.33,1
1,47,4,500.90,1
1,48,7,1252.30,1
1,49,4,1747.80,1
1,53,8,1407.10,1
1,21,7,611.17,1
1,63,4,940.94,1
1,35,7,579.62,1
1,34,6,133.82,1
1,29,4,365.81,1
1,35,8,1714.70,1
1,55,4,249.99,1
1,48,5,1579.10,1
1,49,6,194.52,1
1,71,8,387.97,1
1,62,6,266.86,1
1,34,5,284.95,1
1,73,4,617.86,1
1,39,5,177.63,1
1,41,7,369.66,1
1,43,2,501.14,1
1,60,8,57.14,1
1,26,3,72.78,1
1,33,1,1611.20,1
1,51,2,145.22,1
1,54,5,1881.10,1
1,37,4,1706.30,1
1,50,2,375.75,1
1,32,3,1551.50,1
1,53,7,537.25,1
1,47,6,557.12,1
1,66,3,850.59,1
1,33,5,104.99,1
1,54,2,1203.20,1
1,64,7,893.93,1
1,49,6,950.01,1
1,60,2,706.37,1
1,49,4,716.27,1
1,45,5,760.77,1
1,67,2,199.33,1
1,62,5,221.19,1
1,38,2,310.45,1
1,49,6,115.53,1
1,53,4,1893.60,1
1,73,7,424.96,1
1,36,7,1229.10,1
1,70,5,335.97,1
1,72,4,349.59,1
1,20,7,659.29,1
1,22,3,1385.50,1
1,42,7,380.96,1
1,46,4,445.86,1
1,40,7,634.96,1
1,26,8,829.67,1
1,52,2,307.06,1
1,69,3,600.31,1
1,45,5,1305.90,1
1,38,2,1194.00,1
1,55,3,353.61,1
1,46,1,387.89,1
1,24,6,1641.50,1
1,51,8,1511.80,1
1,26,1,1264.70,1
1,57,2,732.32,1
1,29,4,230.74,1
1,43,5,896.75,1
1,43,4,1675.70,1
1,32,2,449.45,1
1,58,2,367.16,1
1,53,2,72.24,1
1,31,3,1516.80,1
1,28,3,112.52,1
1,53,5,991.31,1
1,55,2,795.12,1
1,28,5,126.87,1
1,69,3,979.85,1
1,51,3,657.59,1
1,44,1,125.35,1
1,30,2,949.71,1
1,42,3,503.40,1
1,41,6,378.28,1
1,35,5,119.54,1
1,28,2,535.24,1
1,52,4,1893.00,1
1,38,3,77.21,1
1,34,5,1094.40,1
1,43,7,1514.30,1
1,40,8,1326.70,1
1,34,8,917.66,1
1,67,7,368.78,1
1,53,7,185.21,1
1,42,2,294.23,1
1,45,6,1566.60,1
1,32,5,64.04,1
1,30,2,553.43,1
1,59,2,407.09,1
1,49,5,710.18,1
1,48,3,151.06,1
1,28,5,1259.10,1
1,34,8,768.23,1
1,55,8,626.38,1
1,41,2,870.45,1
1,61,2,406.77,1
1,42,3,1914.40,1
1,52,7,312.21,1
1,47,5,557.12,1
1,45,7,180.00,1
1,30,2,1125.00,1
1,42,6,1776.50,1
1,48,6,243.66,1
1,20,3,1862.80,1
1,48,2,1030.90,1
1,55,4,527.60,1
1,62,8,397.56,1
1,53,7,81.82,1
1,46,6,861.15,1
1,27,5,140.64,1
1,49,5,1189.70,1
1,35,1,216.32,1
1,29,5,649.38,1
1,49,1,267.91,1
1,41,3,423.80,1
1,31,7,900.35,1
1,33,3,455.98,1
1,35,1,726.67,1
1,44,4,1601.60,1
1,47,7,117.13,1
1,25,4,472.12,1
1,44,4,386.17,1
1,32,6,1435.30,1
1,30,6,894.77,1
1,39,1,1147.90,1
1,41,4,1462.40,1
1,69,7,63.07,1
1,26,3,159.26,1
1,37,5,912.36,1
1,34,2,495.81,1
1,65,7,700.85,1
1,74,1,718.47,1
1,25,5,269.88,1
1,50,1,1000.80,1
1,54,2,584.05,1
1,71,4,946.50,1
1,42,3,566.97,1
1,43,8,1726.30,1
1,34,1,98.00,1
1,64,2,980.71,1
1,49,7,1023.80,1
1,43,6,500.75,1
1,47,1,1952.20,1
1,42,5,667.13,1
1,33,5,1122.10,1
1,36,3,278.66,1
1,40,3,306.15,1
1,54,3,1252.60,1
1,28,2,601.87,1
1,61,3,133.86,1
1,51,6,78.44,1
1,34,8,529.20,1
1,40,3,1770.50,1
1,48,7,968.61,1
1,33,5,492.75,1
1,36,5,417.53,1
1,32,4,1332.30,1
1,31,1,698.00,1
1,40,1,426.11,1
1,56,4,520.85,1
1,44,3,1247.00,1
1,65,6,308.88,1
1,24,1,176.99,1
1,45,2,1377.30,1
1,50,3,422.43,1
1,53,5,828.00,1
1,25,6,570.02,1
1,36,2,1316.40,1
1,46,4,80.11,1
1,71,6,200.06,1
1,54,3,460.74,1
1,37,1,64.99,1
1,63,6,961.58,1
1,40,7,275.47,1
1,51,3,803.14,1
1,52,7,63.47,1
1,74,4,970.77,1
1,28,4,58.19,1
1,33,3,952.95,1
1,30,5,463.90,1
1,24,1,646.42,1
1,54,3,906.63,1
1,47,6,438.59,1
1,40,3,131.77,1
1,31,5,571.86,1
1,35,7,280.67,1
1,38,4,746.30,1
1,25,3,1880.00,1
1,42,5,876.37,1
1,36,3,841.30,1
1,35,6,1919.80,1
1,51,7,1956.60,1
1,39,4,388.04,1
1,58,4,607.51,1
1,47,5,1075.50,1
1,74,5,321.25,1
1,38,6,1885.20,1
1,30,8,1905.50,1
1,34,1,1927.10,1
1,52,6,1448.30,1
1,26,7,294.87,1
1,21,6,1894.30,1
1,35,7,934.49,1
1,34,5,293.34,1
1,63,7,857.67,1
1,57,1,363.38,1
1,50,3,348.05,1
1,68,6,859.63,1
1,27,6,575.93,1
1,48,6,684.62,1
1,73,4,292.86,1
1,73,4,542.70,1
1,43,2,510.61,1
1,37,4,1839.70,1
1,41,7,1284.90,1
1,52,1,263.57,1
1,25,1,986.27,1
1,70,6,387.40,1
1,70,5,480.57,1
1,44,7,976.65,1
1,31,8,89.98,1
1,44,8,1448.70,1
1,45,7,460.19,1
1,57,2,731.33,1
1,34,4,767.13,1
1,55,5,1194.70,1
1,21,7,1066.80,1
1,57,6,393.41,1
1,46,8,412.23,1
1,43,2,675.95,1
1,37,4,95.39,1
1,55,2,607.13,1
1,50,6,887.09,1
1,37,4,556.75,1
1,48,3,957.18,1
1,30,8,1598.50,1
1,48,2,203.83,1
1,23,5,486.33,1
1,57,1,484.81,1
1,52,1,1774.00,1
1,60,5,223.67,1
1,55,6,50.93,1
1,53,7,107.88,1
1,58,7,802.42,1
1,65,1,977.78,1
1,64,3,987.06,1
1,65,6,560.73,1
1,40,4,168.32,1
1,37,2,1782.60,1
1,44,4,1233.30,1
1,28,4,170.54,1
1,33,5,1053.80,1
1,51,3,626.37,1
1,26,2,528.60,1
1,28,8,614.27,1
1,51,5,1912.00,1
1,39,7,1545.30,1
1,25,6,686.61,1
1,40,3,348.12,1
1,59,4,419.03,1
1,65,7,961.03,1
1,30,7,274.37,1
1,36,6,1250.90,1
1,49,5,1453.00,1
1,47,6,1243.90,1
1,25,5,448.00,1
1,45,4,1198.60,1
1,34,4,1216.20,1
1,51,2,771.08,1
1,71,6,560.30,1
1,33,2,227.93,1
1,58,3,246.00,1
1,34,7,937.42,1
1,32,8,580.20,1
1,52,4,831.35,1
1,51,5,145.43,1
1,34,2,107.57,1
1,28,4,1010.70,1
1,52,2,295.38,1
1,49,5,523.40,1
1,52,3,1147.90,1
1,52,5,965.43,1
1,19,6,1911.70,1
1,71,6,896.99,1
1,36,4,462.95,1
1,68,8,104.35,1
1,29,6,753.11,1
1,38,3,1297.10,1
1,35,7,743.05,1
1,39,7,62.94,1
1,22,7,1671.90,1
1,52,1,156.27,1
1,49,5,1131.40,1
1,71,5,206.55,1
1,25,7,291.08,1
1,25,3,1960.70,1
1,34,4,1587.20,1
1,68,7,399.68,1
1,71,3,331.50,1
1,45,2,93.61,1
1,31,3,1767.80,1
1,43,3,72.00,1
1,27,3,1689.20,1
1,28,7,745.88,1
1,53,3,836.82,1
1,42,6,394.06,1
1,53,5,131.08,1
1,28,3,295.03,1
1,30,7,853.20,1
1,48,1,841.81,1
1,39,3,360.84,1
1,66,2,703.09,1
1,30,3,867.04,1
1,60,8,73.61,1
1,27,4,216.38,1
1,28,3,548.22,1
1,35,4,1769.00,1
1,52,2,1471.90,1
1,41,5,1965.10,1
1,46,1,562.94,1
1,47,7,1850.20,1
1,45,4,208.74,1
1,53,7,81.75,1
1,68,4,441.16,1
1,52,2,880.30,1
1,49,2,387.11,1
1,40,3,582.13,1
1,50,3,769.81,1
1,69,8,899.32,1
1,22,3,1535.40,1
1,34,4,780.19,1
1,31,6,1468.60,1
1,35,5,1465.10,1
1,72,5,778.50,1
1,32,4,1859.70,1
1,29,6,325.64,1
1,46,1,823.45,1
1,51,6,569.14,1
1,22,4,272.47,1
1,26,6,379.46,1
1,37,2,570.60,1
1,46,3,56.80,1
1,47,5,326.37,1
1,33,6,565.22,1
1,33,7,917.59,1
1,62,3,276.30,1
1,52,1,180.81,1
1,27,8,1488.20,1
1,55,2,813.07,1
1,57,3,318.49,1
1,35,3,543.82,1
1,52,3,512.83,1
1,55,3,505.12,1
1,50,4,58.91,1
1,51,7,341.43,1
1,60,5,129.38,1
1,54,3,260.70,1
1,33,7,406.03,1
1,27,6,198.55,1
1,47,3,415.73,1
1,66,3,980.23,1
1,39,4,969.43,1
1,59,2,823.94,1
1,31,6,1473.10,1
1,63,7,256.57,1
1,62,4,239.36,1
1,20,6,1043.10,1
1,55,7,68.61,1
1,52,2,577.22,1
1,24,7,1122.90,1
1,52,4,759.04,1
1,25,1,529.07,1
1,42,1,912.31,1
1,35,4,307.12,1
1,53,7,976.84,1
1,30,4,911.80,1
1,31,1,192.18,1
1,28,6,1276.20,1
1,22,7,885.21,1
1,43,3,69.79,1
1,20,5,486.61,1
1,24,5,419.95,1
1,45,6,675.43,1
1,67,4,481.64,1
1,37,8,881.30,1
1,65,7,946.42,1
1,38,8,560.89,1
1,69,6,766.66,1
1,29,8,1127.40,1
1,45,4,640.39,1
1,28,2,597.60,1
1,45,3,167.23,1
1,61,7,165.55,1
1,26,2,1930.50,1
1,45,5,396.45,1
1,54,2,1089.40,1
1,59,6,146.27,1
1,50,6,321.01,1
1,52,3,245.77,1
1,34,6,391.94,1
1,39,4,1559.90,1
1,57,6,154.58,1
1,41,2,502.31,1
1,41,3,209.90,1
1,67,7,599.40,1
1,31,3,1390.60,1
1,41,2,855.18,1
1,58,4,56.48,1
1,66,7,309.38,1
1,54,6,471.91,1
1,66,8,765.00,1
1,46,2,719.37,1
1,42,5,337.10,1
1,34,7,260.59,1
1,38,7,556.81,1
1,37,4,65.20,1
1,40,7,119.17,1
1,33,3,1531.00,1
1,37,6,305.36,1
1,52,5,692.75,1
1,40,7,690.45,1
1,45,3,142.59,1
1,31,5,806.38,1
1,58,8,545.93,1
1,24,8,931.16,1
1,47,4,645.95,1
1,21,2,293.05,1
1,53,8,1857.70,1
1,49,7,443.72,1
1,35,7,1129.50,1
1,38,8,52.26,1
1,36,3,451.32,1
1,58,5,506.58,1
1,31,3,513.18,1
1,69,6,648.60,1
1,46,2,900.65,1
1,54,7,1654.40,1
1,23,6,825.42,1
1,28,5,685.57,1
1,50,1,527.40,1
1,19,5,1731.50,1
1,38,2,1228.60,1
1,29,3,1047.70,1
1,25,3,376.10,1
1,73,3,186.31,1
1,51,8,770.30,1
1,48,5,577.50,1
1,20,3,1806.00,1
1,20,4,1923.90,1
1,47,5,611.97,1
1,37,2,975.26,1
1,58,7,479.72,1
1,44,8,850.99,1
1,74,4,621.02,1
1,25,3,549.03,1
1,65,6,102.34,1
1,60,5,203.87,1
1,33,4,383.66,1
1,32,2,384.41,1
1,55,4,983.60,1
1,42,8,114.67,1
1,71,4,112.47,1
1,40,4,247.44,1
1,32,2,1416.30,1
1,63,7,428.60,1
1,24,2,1342.90,1
1,42,2,440.23,1
1,21,1,1634.10,1
1,55,8,1309.00,1
1,31,1,1218.70,1
1,47,6,1234.20,1
1,72,2,827.46,1
1,65,7,584.43,1
1,25,1,626.58,1
1,34,6,634.16,1
1,73,6,85.88,1
1,43,1,1345.50,1
1,42,7,1383.80,1
1,54,4,144.35,1
1,41,3,548.02,1
1,62,5,712.97,1
1,40,2,789.72,1
1,69,6,978.10,1
1,34,6,1595.00,1
1,64,6,632.01,1
1,30,4,382.84,1
1,39,5,267.62,1
1,40,4,1742.20,1
1,50,6,712.16,1
1,51,4,1350.40,1
1,35,5,541.49,1
1,72,8,759.52,1
1,64,1,679.32,1
1,27,4,1691.80,1
1,53,7,56.62,1
1,29,3,1472.00,1
1,30,1,1130.50,1
1,25,5,140.06,1
1,24,2,1886.60,1
1,54,6,378.58,1
1,37,3,1354.50,1
1,29,5,441.91,1
1,39,7,677.02,1
1,46,4,685.85,1
1,54,3,158.36,1
1,52,2,590.72,1
1,23,3,1842.90,1
1,24,2,286.05,1
1,29,6,294.73,1
1,38,6,515.52,1
1,66,7,743.21,1
1,47,7,994.82,1
1,49,7,1369.50,1
1,28,2,1237.00,1
1,24,1,606.51,1
1,73,7,496.59,1
1,62,5,290.10,1
1,47,5,1566.30,1
1,42,8,1618.80,1
1,46,5,597.27,1
1,21,3,1908.00,1
1,24,7,949.35,1
1,49,1,304.05,1
1,38,3,864.10,1
1,27,6,167.92,1
1,66,3,981.57,1
1,38,6,795.17,1
1,37,3,1099.40,1
1,57,5,550.44,1
1,28,3,1099.40,1
1,21,5,1545.40,1
1,40,4,607.45,1
1,67,6,554.47,1
1,32,4,500.06,1
1,31,8,1187.40,1
1,43,1,885.13,1
1,45,6,245.47,1
1,66,4,591.94,1
1,35,7,415.79,1
1,45,2,628.28,1
1,42,3,905.25,1
1,72,1,704.63,1
1,63,8,197.33,1
1,60,7,197.05,1
1,30,4,1246.80,1
1,56,7,591.72,1
1,59,4,605.02,1
1,42,6,897.29,1
1,72,2,828.98,1
1,39,3,705.32,1
1,45,3,991.70,1
1,42,5,426.91,1
1,31,4,191.44,1
1,57,2,181.52,1
1,48,7,1180.10,1
1,26,7,1781.20,1
1,55,5,449.97,1
1,60,7,445.63,1
1,46,4,396.74,1
1,49,6,1363.60,1
1,38,7,709.43,1
1,41,2,142.68,1
1,35,2,1977.70,1
1,31,3,1879.10,1
1,50,3,521.52,1
1,50,4,270.77,1
1,33,2,1344.70,1
1,58,2,724.59,1
1,45,2,565.85,1
1,22,5,1282.60,1
1,31,5,858.89,1
1,46,7,94.47,1
1,29,5,1431.40,1
1,74,2,422.61,1
1,72,2,534.22,1
1,27,6,216.60,1
1,33,3,586.41,1
1,25,6,1352.70,1
1,22,5,1517.00,1
1,67,3,327.67,1
1,68,2,827.91,1
1,37,3,1761.20,1
1,52,1,359.19,1
1,55,5,575.56,1
1,43,5,1585.60,1
1,28,7,443.01,1
1,66,5,933.96,1
1,33,3,1102.20,1
1,44,6,578.22,1
1,26,5,1470.40,1
1,65,5,329.11,1
1,41,6,957.28,1
1,45,8,712.99,1
1,44,2,537.55,1
1,38,3,980.94,1
1,66,4,233.20,1
1,63,7,426.24,1
1,37,4,1850.00,1
1,50,4,910.84,1
1,39,4,1986.60,1
1,61,5,92.12,1
1,34,2,81.51,1
1,55,2,90.95,1
1,43,2,1339.40,1
1,37,6,94.65,1
1,37,4,740.97,1
1,66,3,439.90,1
1,64,2,178.29,1
1,61,4,677.35,1
1,49,3,1823.90,1
1,35,5,95.07,1
1,54,8,204.08,1
1,47,6,224.08,1
1,46,3,611.66,1
1,29,4,301.92,1
1,50,7,1767.10,1
1,27,4,545.66,1
1,64,8,597.78,1
1,48,3,606.77,1
1,74,6,209.58,1
1,53,4,1219.40,1
1,63,4,678.67,1
1,32,7,85.44,1
1,26,7,161.59,1
1,47,6,174.46,1
1,30,6,1902.70,1
1,46,4,758.04,1
1,30,3,709.43,1
1,64,7,643.86,1
1,27,8,53.83,1
1,26,7,1555.10,1
1,68,2,662.30,1
1,55,3,608.67,1
1,39,7,257.85,1
1,31,2,1818.00,1
1,30,3,1169.30,1
1,20,1,714.90,1
1,54,3,364.64,1
1,44,7,539.76,1
1,32,6,350.63,1
1,38,6,1014.00,1
1,22,8,859.34,1
1,45,3,1279.20,1
1,32,7,1924.90,1
1,70,4,595.32,1
1,42,2,668.87,1
1,25,8,426.75,1
1,43,5,214.34,1
1,60,4,418.43,1
1,43,7,910.71,1
1,29,2,157.13,1
1,31,7,1643.80,1
1,69,2,354.97,1
1,43,7,1134.80,1
1,64,3,437.19,1
1,42,2,994.57,1
1,41,6,375.00,1
1,50,5,851.19,1
1,32,7,404.98,1
1,30,1,1540.40,1
